# Time Enstrophy
0.000000000000000000e+00 3.749913404942789574e-01
2.812500000000000069e-02 3.750444580458809352e-01
5.625000000000000139e-02 3.751593659818575066e-01
8.437500000000000555e-02 3.753361227669906874e-01
1.125000000000000028e-01 3.755748307236645989e-01
1.406250000000000000e-01 3.758756357352259769e-01
1.687500000000000111e-01 3.762387269034714876e-01
1.968749999999999944e-01 3.766643361622272757e-01
2.250000000000000056e-01 3.771527378493799709e-01
2.531249999999999889e-01 3.777042482400921886e-01
2.812500000000000000e-01 3.783192250442620752e-01
3.093750000000000111e-01 3.789980668715846601e-01
3.375000000000000222e-01 3.797412126678227917e-01
3.656250000000000333e-01 3.805491411261083812e-01
3.937499999999999889e-01 3.814223700772521042e-01
4.218750000000000000e-01 3.823614558631622806e-01
4.500000000000000111e-01 3.833669926975350473e-01
4.781250000000000222e-01 3.844396120180023635e-01
5.062499999999999778e-01 3.855799818338908613e-01
5.343750000000000444e-01 3.867888060736732747e-01
5.625000000000000000e-01 3.880668239360659522e-01
5.906250000000000666e-01 3.894148092485664181e-01
6.187500000000000222e-01 3.908335698370105638e-01
6.468749999999999778e-01 3.923239469094868537e-01
6.750000000000000444e-01 3.938868144576596064e-01
7.031250000000000000e-01 3.955230786782423236e-01
7.312500000000000666e-01 3.972336774170117657e-01
7.593750000000000222e-01 3.990195796373978698e-01
7.874999999999999778e-01 4.008817849152843671e-01
8.156250000000000444e-01 4.028213229612643831e-01
8.437500000000000000e-01 4.048392531711743070e-01
8.718750000000000666e-01 4.069366642053121597e-01
9.000000000000000222e-01 4.091146735963255843e-01
9.281249999999999778e-01 4.113744273853339184e-01
9.562500000000000444e-01 4.137170997854368037e-01
9.843750000000000000e-01 4.161438928713615537e-01
1.012499999999999956e+00 4.186560362936085911e-01
1.040625000000000133e+00 4.212547870150891161e-01
1.068750000000000089e+00 4.239414290678876762e-01
1.096875000000000044e+00 4.267172733274531282e-01
1.125000000000000000e+00 4.295836573011984072e-01
1.153124999999999956e+00 4.325419449281796003e-01
1.181250000000000133e+00 4.355935263862267259e-01
1.209375000000000089e+00 4.387398179025820966e-01
1.237500000000000044e+00 4.419822615637789553e-01
1.265625000000000000e+00 4.453223251201187116e-01
1.293749999999999956e+00 4.487615017796867667e-01
1.321875000000000133e+00 4.523013099863424369e-01
1.350000000000000089e+00 4.559432931755253438e-01
1.378125000000000044e+00 4.596890195010175928e-01
1.406250000000000000e+00 4.635400815249912654e-01
1.434374999999999956e+00 4.674980958627579231e-01
1.462500000000000133e+00 4.715647027726557194e-01
1.490625000000000089e+00 4.757415656804989679e-01
1.518750000000000044e+00 4.800303706270517834e-01
1.546875000000000000e+00 4.844328256261613008e-01
1.574999999999999956e+00 4.889506599206013826e-01
1.603125000000000133e+00 4.935856231224653445e-01
1.631250000000000089e+00 4.983394842252374390e-01
1.659375000000000044e+00 5.032140304755836624e-01
1.687500000000000000e+00 5.082110660945701186e-01
1.715624999999999956e+00 5.133324108405084019e-01
1.743750000000000133e+00 5.185798984090155272e-01
1.771875000000000089e+00 5.239553746701861581e-01
1.800000000000000044e+00 5.294606957479508491e-01
1.828125000000000000e+00 5.350977259526930041e-01
1.856249999999999956e+00 5.408683355848720176e-01
1.884375000000000133e+00 5.467743986346031981e-01
1.912500000000000089e+00 5.528177904096693851e-01
1.940625000000000044e+00 5.590003851320839434e-01
1.968750000000000000e+00 5.653240535508419207e-01
1.996874999999999956e+00 5.717906606256857316e-01
2.024999999999999911e+00 5.784020633433544223e-01
2.053125000000000089e+00 5.851601087336986140e-01
2.081250000000000266e+00 5.920666321581036229e-01
2.109375000000000000e+00 5.991234559467261134e-01
2.137500000000000178e+00 6.063323884641194095e-01
2.165624999999999911e+00 6.136952236848168818e-01
2.193750000000000089e+00 6.212137413614475800e-01
2.221875000000000266e+00 6.288897078680206754e-01
2.250000000000000000e+00 6.367248778002240206e-01
2.278125000000000178e+00 6.447209964130891091e-01
2.306249999999999911e+00 6.528798029743063669e-01
2.334375000000000089e+00 6.612030351089615010e-01
2.362500000000000266e+00 6.696924342086592041e-01
2.390625000000000000e+00 6.783497519749764892e-01
2.418750000000000178e+00 6.871767581640126910e-01
2.446874999999999911e+00 6.961752495954324216e-01
2.475000000000000089e+00 7.053470604857248194e-01
2.503125000000000266e+00 7.146940741612196613e-01
2.531250000000000000e+00 7.242182362013793728e-01
2.559375000000000178e+00 7.339215690566659456e-01
2.587499999999999911e+00 7.438061881774185036e-01
2.615625000000000089e+00 7.538743196802648594e-01
2.643750000000000266e+00 7.641283195662827987e-01
2.671875000000000000e+00 7.745706944901746827e-01
2.700000000000000178e+00 7.852041240620946105e-01
2.728124999999999911e+00 7.960314846436880032e-01
2.756250000000000089e+00 8.070558745780467280e-01
2.784375000000000266e+00 8.182806407709546370e-01
2.812500000000000000e+00 8.297094065203368674e-01
2.840625000000000178e+00 8.413461004757820660e-01
2.868749999999999911e+00 8.531949866054745479e-01
2.896875000000000089e+00 8.652606950600141289e-01
2.925000000000000266e+00 8.775482538578579517e-01
2.953125000000000000e+00 8.900631213801153407e-01
2.981250000000000178e+00 9.028112197533145755e-01
3.009374999999999911e+00 9.157989693098371742e-01
3.037500000000000089e+00 9.290333244287488634e-01
3.065625000000000266e+00 9.425218111448903091e-01
3.093750000000000000e+00 9.562725669320235600e-01
3.121875000000000178e+00 9.702943829740616755e-01
3.149999999999999911e+00 9.845967490014213563e-01
3.178125000000000089e+00 9.991899003717183980e-01
3.206250000000000266e+00 1.014084866531959284e+00
3.234375000000000000e+00 1.029293519369882670e+00
3.262500000000000178e+00 1.044828619341614306e+00
3.290624999999999911e+00 1.060703856775931042e+00
3.318750000000000089e+00 1.076933885532195934e+00
3.346875000000000266e+00 1.093534346334974039e+00
3.375000000000000000e+00 1.110521877673707802e+00
3.403125000000000178e+00 1.127914113113210437e+00
3.431249999999999911e+00 1.145729665098637717e+00
3.459375000000000089e+00 1.163988096676330741e+00
3.487500000000000266e+00 1.182709883774284654e+00
3.515625000000000000e+00 1.201916371590724619e+00
3.543750000000000178e+00 1.221629729083893112e+00
3.571874999999999911e+00 1.241872905489802337e+00
3.600000000000000089e+00 1.262669592262515073e+00
3.628125000000000266e+00 1.284044192946873997e+00
3.656250000000000000e+00 1.306021802384739861e+00
3.684375000000000178e+00 1.328628195402241197e+00
3.712499999999999911e+00 1.351889823708480876e+00
3.740625000000000089e+00 1.375833818025300914e+00
3.768750000000000266e+00 1.400487990260105287e+00
3.796875000000000000e+00 1.425880827644557147e+00
