# Time Enstrophy
0.000000000000000000e+00 3.749955389665960981e-01
3.515625000000000087e-03 3.749920434970581695e-01
7.031250000000000173e-03 3.749895135068727070e-01
1.054687500000000069e-02 3.749879489213262529e-01
1.406250000000000035e-02 3.749873496765491199e-01
1.757812500000000000e-02 3.749877157195108945e-01
2.109375000000000139e-02 3.749890470080158300e-01
2.460937499999999931e-02 3.749913435106977389e-01
2.812500000000000069e-02 3.749946052070148861e-01
3.164062499999999861e-02 3.749988320872448266e-01
3.515625000000000000e-02 3.750040241524789097e-01
3.867187500000000139e-02 3.750101814146166168e-01
4.218750000000000278e-02 3.750173038963596772e-01
4.570312500000000416e-02 3.750253916312058511e-01
4.921874999999999861e-02 3.750344446634432671e-01
5.273437500000000000e-02 3.750444630481433173e-01
5.625000000000000139e-02 3.750554468511545503e-01
5.976562500000000278e-02 3.750673961490956776e-01
6.328124999999999722e-02 3.750803110293484677e-01
6.679687500000000555e-02 3.750941915900511958e-01
7.031250000000000000e-02 3.751090379400906505e-01
7.382812500000000833e-02 3.751248501990950279e-01
7.734375000000000278e-02 3.751416284974256055e-01
8.085937499999999722e-02 3.751593729761698581e-01
8.437500000000000555e-02 3.751780837871323548e-01
8.789062500000000000e-02 3.751977610928274309e-01
9.140625000000000833e-02 3.752184050664698622e-01
9.492187500000000278e-02 3.752400158919672046e-01
9.843749999999999722e-02 3.752625937639102460e-01
1.019531250000000056e-01 3.752861388875639581e-01
1.054687500000000000e-01 3.753106514788592252e-01
1.089843750000000083e-01 3.753361317643825190e-01
1.125000000000000028e-01 3.753625799813672392e-01
1.160156249999999972e-01 3.753899963776833326e-01
1.195312500000000056e-01 3.754183812118279118e-01
1.230468750000000000e-01 3.754477347529144859e-01
1.265624999999999944e-01 3.754780572806641903e-01
1.300781250000000167e-01 3.755093490853940175e-01
1.335937500000000111e-01 3.755416104680067146e-01
1.371093750000000056e-01 3.755748417399803474e-01
1.406250000000000000e-01 3.756090432233569754e-01
1.441406249999999944e-01 3.756442152507318832e-01
1.476562500000000167e-01 3.756803581652423674e-01
1.511718750000000111e-01 3.757174723205560785e-01
1.546875000000000056e-01 3.757555580808596973e-01
1.582031250000000000e-01 3.757946158208471110e-01
1.617187499999999944e-01 3.758346459257075889e-01
1.652343750000000167e-01 3.758756487911135702e-01
1.687500000000000111e-01 3.759176248232088957e-01
1.722656250000000056e-01 3.759605744385956516e-01
1.757812500000000000e-01 3.760044980643223456e-01
1.792968749999999944e-01 3.760493961378709171e-01
1.828125000000000167e-01 3.760952691071438592e-01
1.863281250000000111e-01 3.761421174304515613e-01
1.898437500000000056e-01 3.761899415764987653e-01
1.933593750000000000e-01 3.762387420243712421e-01
1.968749999999999944e-01 3.762885192635225806e-01
2.003906250000000167e-01 3.763392737937605870e-01
2.039062500000000111e-01 3.763910061252331296e-01
2.074218750000000056e-01 3.764437167784147054e-01
2.109375000000000000e-01 3.764974062840924507e-01
2.144531249999999944e-01 3.765520751833513202e-01
2.179687500000000167e-01 3.766077240275603755e-01
2.214843750000000111e-01 3.766643533783579079e-01
2.250000000000000056e-01 3.767219638076371169e-01
2.285156250000000000e-01 3.767805558975311220e-01
2.320312499999999944e-01 3.768401302403983077e-01
2.355468750000000167e-01 3.769006874388070027e-01
2.390625000000000111e-01 3.769622281055206026e-01
2.425781250000000056e-01 3.770247528634820822e-01
2.460937500000000000e-01 3.770882623457987859e-01
2.496093749999999944e-01 3.771527571957264957e-01
2.531249999999999889e-01 3.772182380666543322e-01
2.566406250000000111e-01 3.772847056220881568e-01
2.601562500000000333e-01 3.773521605356358055e-01
2.636718750000000000e-01 3.774206034909893814e-01
2.671875000000000222e-01 3.774900351819107103e-01
2.707031249999999889e-01 3.775604563122144652e-01
2.742187500000000111e-01 3.776318675957510695e-01
2.777343750000000333e-01 3.777042697563915974e-01
2.812500000000000000e-01 3.777776635280094553e-01
2.847656250000000222e-01 3.778520496544651719e-01
2.882812499999999889e-01 3.779274288895884126e-01
2.917968750000000111e-01 3.780038019971618812e-01
2.953125000000000333e-01 3.780811697509034452e-01
2.988281250000000000e-01 3.781595329344497047e-01
3.023437500000000222e-01 3.782388923413381177e-01
3.058593749999999889e-01 3.783192487749900135e-01
3.093750000000000111e-01 3.784006030486930516e-01
3.128906250000000333e-01 3.784829559855833470e-01
3.164062500000000000e-01 3.785663084186278171e-01
3.199218750000000222e-01 3.786506611906073072e-01
3.234374999999999889e-01 3.787360151540973829e-01
3.269531250000000111e-01 3.788223711714514552e-01
3.304687500000000333e-01 3.789097301147820174e-01
3.339843750000000000e-01 3.789980928659432147e-01
3.375000000000000222e-01 3.790874603165118040e-01
3.410156249999999889e-01 3.791778333677696677e-01
3.445312500000000111e-01 3.792692129306848292e-01
3.480468750000000333e-01 3.793615999258937999e-01
3.515625000000000000e-01 3.794549952836819839e-01
3.550781250000000222e-01 3.795493999439658594e-01
3.585937499999999889e-01 3.796448148562741043e-01
3.621093750000000111e-01 3.797412409797289445e-01
3.656250000000000333e-01 3.798386792830271141e-01
3.691406250000000000e-01 3.799371307444210921e-01
3.726562500000000222e-01 3.800365963517003953e-01
3.761718749999999889e-01 3.801370771021722605e-01
