# Time Enstrophy
0.000000000000000000e+00 3.749976487817594517e-01
1.757812500000000043e-03 3.749955389661320249e-01
3.515625000000000087e-03 3.749936705415631844e-01
5.273437500000000347e-03 3.749920434970190897e-01
7.031250000000000173e-03 3.749906578221436360e-01
8.789062500000000000e-03 3.749895135072587316e-01
1.054687500000000069e-02 3.749886105433639649e-01
1.230468749999999965e-02 3.749879489221372708e-01
1.406250000000000035e-02 3.749875286359335425e-01
1.582031249999999931e-02 3.749873496777852422e-01
1.757812500000000000e-02 3.749874120414025125e-01
1.933593750000000069e-02 3.749877157211722878e-01
2.109375000000000139e-02 3.749882607121586275e-01
2.285156250000000208e-02 3.749890470101023832e-01
2.460937499999999931e-02 3.749900746114213090e-01
2.636718750000000000e-02 3.749913435132095074e-01
2.812500000000000069e-02 3.749928537132376505e-01
2.988281250000000139e-02 3.749946052099520921e-01
3.164062499999999861e-02 3.749965980024757561e-01
3.339843750000000278e-02 3.749988320906073591e-01
3.515625000000000000e-02 3.750013074748212993e-01
3.691406250000000416e-02 3.750040241562671017e-01
3.867187500000000139e-02 3.750069821367700285e-01
4.042968749999999861e-02 3.750101814188304683e-01
4.218750000000000278e-02 3.750136220056236036e-01
4.394531250000000000e-02 3.750173039009994103e-01
4.570312500000000416e-02 3.750212271094824357e-01
4.746093750000000139e-02 3.750253916362716877e-01
4.921874999999999861e-02 3.750297974872403017e-01
5.097656250000000278e-02 3.750344446689353184e-01
5.273437500000000000e-02 3.750393331885776838e-01
5.449218750000000416e-02 3.750444630540618052e-01
5.625000000000000139e-02 3.750498342739555513e-01
5.800781249999999861e-02 3.750554468574996969e-01
5.976562500000000278e-02 3.750613008146080896e-01
6.152343750000000000e-02 3.750673961558675940e-01
6.328124999999999722e-02 3.750737328925369818e-01
6.503906250000000833e-02 3.750803110365474868e-01
6.679687500000000555e-02 3.750871306005026939e-01
6.855468750000000278e-02 3.750941915976775398e-01
7.031250000000000000e-02 3.751014940420189236e-01
7.207031249999999722e-02 3.751090379481446524e-01
7.382812500000000833e-02 3.751168233313439959e-01
7.558593750000000555e-02 3.751248502075767988e-01
7.734375000000000278e-02 3.751331185934736467e-01
7.910156250000000000e-02 3.751416285063355893e-01
8.085937499999999722e-02 3.751503799641333625e-01
8.261718750000000833e-02 3.751593729855081660e-01
8.437500000000000555e-02 3.751686075897702199e-01
8.613281250000000278e-02 3.751780837968994309e-01
8.789062500000000000e-02 3.751878016275447814e-01
8.964843749999999722e-02 3.751977611030236082e-01
9.140625000000000833e-02 3.752079622453224905e-01
9.316406250000000555e-02 3.752184050770958068e-01
9.492187500000000278e-02 3.752290896216659011e-01
9.667968750000000000e-02 3.752400159030231386e-01
9.843749999999999722e-02 3.752511839458249621e-01
1.001953125000000083e-01 3.752625937753962804e-01
1.019531250000000056e-01 3.752742454177288023e-01
1.037109375000000028e-01 3.752861388994808145e-01
1.054687500000000000e-01 3.752982742479767930e-01
1.072265624999999972e-01 3.753106514912072367e-01
1.089843750000000083e-01 3.753232706578284450e-01
1.107421875000000056e-01 3.753361317771623518e-01
1.125000000000000028e-01 3.753492348791953592e-01
1.142578125000000000e-01 3.753625799945791153e-01
1.160156249999999972e-01 3.753761671546298473e-01
1.177734375000000083e-01 3.753899963913277515e-01
1.195312500000000056e-01 3.754040677373169377e-01
1.212890625000000028e-01 3.754183812259052067e-01
1.230468750000000000e-01 3.754329368910634956e-01
1.248046874999999972e-01 3.754477347674255450e-01
1.265624999999999944e-01 3.754627748902878426e-01
1.283203125000000056e-01 3.754780572956092355e-01
1.300781250000000167e-01 3.754935820200103747e-01
1.318359375000000000e-01 3.755093491007737150e-01
1.335937500000000111e-01 3.755253585758425716e-01
1.353515624999999944e-01 3.755416104838215086e-01
1.371093750000000056e-01 3.755581048639757835e-01
1.388671875000000167e-01 3.755748417562309038e-01
1.406250000000000000e-01 3.755918212011718493e-01
1.423828125000000111e-01 3.756090432400439605e-01
1.441406249999999944e-01 3.756265079147509400e-01
1.458984375000000056e-01 3.756442152678559632e-01
1.476562500000000167e-01 3.756621653425802898e-01
1.494140625000000000e-01 3.756803581828038752e-01
1.511718750000000111e-01 3.756987938330641486e-01
1.529296874999999944e-01 3.757174723385557913e-01
1.546875000000000056e-01 3.757363937451310698e-01
1.564453125000000167e-01 3.757555580992984479e-01
1.582031250000000000e-01 3.757749654482228641e-01
1.599609375000000111e-01 3.757946158397252878e-01
1.617187499999999944e-01 3.758145093222826083e-01
1.634765625000000056e-01 3.758346459450260801e-01
1.652343750000000167e-01 3.758550257577425446e-01
1.669921875000000000e-01 3.758756488108730975e-01
1.687500000000000111e-01 3.758965151555125894e-01
1.705078124999999944e-01 3.759176248434100698e-01
1.722656250000000056e-01 3.759389779269672882e-01
1.740234375000000167e-01 3.759605744592392496e-01
1.757812500000000000e-01 3.759824144939332147e-01
1.775390625000000111e-01 3.760044980854089225e-01
1.792968749999999944e-01 3.760268252886774243e-01
1.810546875000000056e-01 3.760493961594012502e-01
1.828125000000000167e-01 3.760722107538939096e-01
1.845703125000000000e-01 3.760952691291188921e-01
1.863281250000000111e-01 3.761185713426904997e-01
1.880859374999999944e-01 3.761421174528720157e-01
1.898437500000000056e-01 3.761659075185764256e-01
1.916015625000000167e-01 3.761899415993652518e-01
1.933593750000000000e-01 3.762142197554486645e-01
1.951171875000000111e-01 3.762387420476848154e-01
1.968749999999999944e-01 3.762635085375790611e-01
1.986328125000000056e-01 3.762885192872841289e-01
2.003906250000000167e-01 3.763137743595994511e-01
2.021484375000000000e-01 3.763392738179708319e-01
2.039062500000000111e-01 3.763650177264896701e-01
2.056640624999999944e-01 3.763910061498930704e-01
2.074218750000000056e-01 3.764172391535627882e-01
2.091796875000000167e-01 3.764437168035253967e-01
2.109375000000000000e-01 3.764704391664512872e-01
2.126953125000000111e-01 3.764974063096545587e-01
2.144531249999999944e-01 3.765246183010925729e-01
2.162109375000000056e-01 3.765520752093656220e-01
2.179687500000000167e-01 3.765797771037160402e-01
2.197265625000000000e-01 3.766077240540279258e-01
2.214843750000000111e-01 3.766359161308270309e-01
2.232421874999999944e-01 3.766643534052798170e-01
2.250000000000000056e-01 3.766930359491931224e-01
2.267578125000000167e-01 3.767219638350141064e-01
2.285156250000000000e-01 3.767511371358291949e-01
2.302734375000000111e-01 3.767805559253643022e-01
2.320312499999999944e-01 3.768102202779832766e-01
2.337890625000000056e-01 3.768401302686886778e-01
2.355468750000000167e-01 3.768702859731204446e-01
2.373046875000000000e-01 3.769006874675555618e-01
2.390625000000000111e-01 3.769313348289081711e-01
2.408203124999999944e-01 3.769622281347283499e-01
2.425781250000000056e-01 3.769933674632020004e-01
2.443359375000000167e-01 3.770247528931501835e-01
2.460937500000000000e-01 3.770563845040287854e-01
2.478515625000000111e-01 3.770882623759280738e-01
2.496093749999999944e-01 3.771203865895721430e-01
2.513671875000000333e-01 3.771527572263182471e-01
2.531249999999999889e-01 3.771853743681565785e-01
2.548828125000000000e-01 3.772182380977096017e-01
2.566406250000000111e-01 3.772513484982316090e-01
2.583984375000000222e-01 3.772847056536081656e-01
2.601562500000000333e-01 3.773183096483557764e-01
2.619140624999999889e-01 3.773521605676213309e-01
2.636718750000000000e-01 3.773862584971813261e-01
2.654296875000000111e-01 3.774206035234419221e-01
2.671875000000000222e-01 3.774551957334374430e-01
2.689453125000000333e-01 3.774900352148313765e-01
2.707031249999999889e-01 3.775251220559142640e-01
2.724609375000000000e-01 3.775604563456043117e-01
2.742187500000000111e-01 3.775960381734463356e-01
2.759765625000000222e-01 3.776318676296115395e-01
2.777343750000000333e-01 3.776679448048964050e-01
2.794921874999999889e-01 3.777042697907234681e-01
2.812500000000000000e-01 3.777408426791390994e-01
2.830078125000000111e-01 3.777776635628140589e-01
2.847656250000000222e-01 3.778147325350431629e-01
2.865234375000000333e-01 3.778520496897437297e-01
2.882812499999999889e-01 3.778896151214561350e-01
2.900390625000000000e-01 3.779274289253423680e-01
2.917968750000000111e-01 3.779654911971863651e-01
2.935546875000000222e-01 3.780038020333925664e-01
2.953125000000000333e-01 3.780423615309861374e-01
2.970703124999999889e-01 3.780811697876120814e-01
2.988281250000000000e-01 3.781202269015347950e-01
3.005859375000000111e-01 3.781595329716375131e-01
3.023437500000000222e-01 3.781990880974216429e-01
3.041015625000000333e-01 3.782388923790065416e-01
3.058593749999999889e-01 3.782789459171284063e-01
3.076171875000000000e-01 3.783192488131402742e-01
3.093750000000000111e-01 3.783598011690113561e-01
3.111328125000000222e-01 3.784006030873262594e-01
3.128906250000000333e-01 3.784416546712848772e-01
3.146484374999999889e-01 3.784829560247010560e-01
3.164062500000000000e-01 3.785245072520027065e-01
3.181640625000000111e-01 3.785663084582313598e-01
3.199218750000000222e-01 3.786083597490410568e-01
3.216796875000000333e-01 3.786506612306980157e-01
3.234374999999999889e-01 3.786932130100802985e-01
3.251953125000000000e-01 3.787360151946768116e-01
3.269531250000000111e-01 3.787790678925873067e-01
3.287109375000000222e-01 3.788223712125209364e-01
3.304687500000000333e-01 3.788659252637969210e-01
3.322265624999999889e-01 3.789097301563430498e-01
3.339843750000000000e-01 3.789537860006950698e-01
3.357421875000000111e-01 3.789980929079970196e-01
3.375000000000000222e-01 3.790426509899994523e-01
3.392578125000000333e-01 3.790874603590598246e-01
3.410156249999999889e-01 3.791325211281416641e-01
3.427734375000000000e-01 3.791778334108134585e-01
3.445312500000000111e-01 3.792233973212489895e-01
3.462890625000000222e-01 3.792692129742259999e-01
3.480468750000000333e-01 3.793152804851262494e-01
3.498046874999999889e-01 3.793615999699339048e-01
3.515625000000000000e-01 3.794081715452362613e-01
3.533203125000000111e-01 3.794549953282224664e-01
3.550781250000000222e-01 3.795020714366827419e-01
3.568359375000000333e-01 3.795493999890082737e-01
3.585937499999999889e-01 3.795969811041904896e-01
3.603515625000000000e-01 3.796448149018202267e-01
3.621093750000000111e-01 3.796929015020872322e-01
3.638671875000000222e-01 3.797412410257802184e-01
3.656250000000000333e-01 3.797898335942848647e-01
3.673828124999999889e-01 3.798386793295850383e-01
3.691406250000000000e-01 3.798877783542604636e-01
3.708984375000000111e-01 3.799371307914872764e-01
3.726562500000000222e-01 3.799867367650371364e-01
3.744140625000000333e-01 3.800365963992764495e-01
3.761718749999999889e-01 3.800867098191658133e-01
3.779296875000000000e-01 3.801370771502596835e-01
3.796875000000000111e-01 3.801876985187055968e-01
3.814453125000000222e-01 3.802385740512432832e-01
3.832031250000000333e-01 3.802897038752045544e-01
3.849609374999999889e-01 3.803410881185125270e-01
3.867187500000000000e-01 3.803927269096809560e-01
3.884765625000000111e-01 3.804446203778136804e-01
3.902343750000000222e-01 3.804967686526040116e-01
3.919921875000000333e-01 3.805491718643341237e-01
3.937499999999999889e-01 3.806018301438746088e-01
3.955078125000000000e-01 3.806547436226833669e-01
3.972656250000000111e-01 3.807079124328057729e-01
3.990234375000000222e-01 3.807613367068731769e-01
4.007812500000000333e-01 3.808150165781034602e-01
4.025390624999999889e-01 3.808689521802990363e-01
4.042968750000000000e-01 3.809231436478473509e-01
4.060546875000000111e-01 3.809775911157198269e-01
4.078125000000000222e-01 3.810322947194713095e-01
4.095703125000000333e-01 3.810872545952391777e-01
4.113281249999999889e-01 3.811424708797432892e-01
4.130859375000000000e-01 3.811979437102850365e-01
4.148437500000000111e-01 3.812536732247467919e-01
4.166015625000000222e-01 3.813096595615912410e-01
4.183593750000000333e-01 3.813659028598606060e-01
4.201171874999999889e-01 3.814224032591765345e-01
4.218750000000000000e-01 3.814791608997392114e-01
4.236328125000000111e-01 3.815361759223265814e-01
4.253906250000000222e-01 3.815934484682936834e-01
4.271484375000000333e-01 3.816509786795727610e-01
4.289062499999999889e-01 3.817087666986715977e-01
4.306640625000000000e-01 3.817668126686735164e-01
4.324218750000000111e-01 3.818251167332369356e-01
4.341796875000000222e-01 3.818836790365941480e-01
4.359375000000000333e-01 3.819424997235512098e-01
4.376953124999999889e-01 3.820015789394870520e-01
4.394531250000000000e-01 3.820609168303531478e-01
4.412109375000000111e-01 3.821205135426725130e-01
4.429687500000000222e-01 3.821803692235389294e-01
4.447265625000000333e-01 3.822404840206174992e-01
4.464843749999999889e-01 3.823008580821423141e-01
4.482421875000000000e-01 3.823614915569172878e-01
4.500000000000000111e-01 3.824223845943149347e-01
4.517578125000000222e-01 3.824835373442754261e-01
4.535156250000000333e-01 3.825449499573065903e-01
4.552734374999999889e-01 3.826066225844829694e-01
4.570312500000000000e-01 3.826685553774452631e-01
4.587890625000000111e-01 3.827307484883993860e-01
4.605468750000000222e-01 3.827932020701166338e-01
4.623046875000000333e-01 3.828559162759322954e-01
4.640624999999999889e-01 3.829188912597452643e-01
4.658203125000000000e-01 3.829821271760176504e-01
4.675781250000000111e-01 3.830456241797739469e-01
4.693359375000000222e-01 3.831093824266000869e-01
4.710937500000000333e-01 3.831734020726436651e-01
4.728515624999999889e-01 3.832376832746123840e-01
4.746093750000000000e-01 3.833022261897741645e-01
4.763671875000000111e-01 3.833670309759561468e-01
4.781250000000000222e-01 3.834320977915439688e-01
4.798828125000000333e-01 3.834974267954812666e-01
4.816406249999999889e-01 3.835630181472695632e-01
4.833984375000000000e-01 3.836288720069666036e-01
4.851562500000000111e-01 3.836949885351866874e-01
4.869140625000000222e-01 3.837613678930993366e-01
4.886718750000000333e-01 3.838280102424294071e-01
4.904296874999999889e-01 3.838949157454557559e-01
4.921875000000000000e-01 3.839620845650111303e-01
4.939453125000000111e-01 3.840295168644811685e-01
4.957031250000000222e-01 3.840972128078038450e-01
4.974609375000000333e-01 3.841651725594690259e-01
4.992187499999999889e-01 3.842333962845179141e-01
5.009765625000000000e-01 3.843018841485421611e-01
5.027343750000000666e-01 3.843706363176832008e-01
5.044921875000000222e-01 3.844396529586324718e-01
5.062499999999999778e-01 3.845089342386289188e-01
5.080078125000000444e-01 3.845784803254607143e-01
5.097656250000000000e-01 3.846482913874628151e-01
5.115234375000000666e-01 3.847183675935169633e-01
5.132812500000000222e-01 3.847887091130516302e-01
5.150390624999999778e-01 3.848593161160404064e-01
5.167968750000000444e-01 3.849301887730022242e-01
5.185546875000000000e-01 3.850013272550000254e-01
5.203125000000000666e-01 3.850727317336405386e-01
5.220703125000000222e-01 3.851444023810738360e-01
5.238281249999999778e-01 3.852163393699922223e-01
5.255859375000000444e-01 3.852885428736300133e-01
5.273437500000000000e-01 3.853610130657628696e-01
5.291015625000000666e-01 3.854337501207066863e-01
5.308593750000000222e-01 3.855067542133177039e-01
5.326171874999999778e-01 3.855800255189916204e-01
5.343750000000000444e-01 3.856535642136624809e-01
5.361328125000000000e-01 3.857273704738031217e-01
5.378906250000000666e-01 3.858014444764233941e-01
5.396484375000000222e-01 3.858757863990703862e-01
5.414062499999999778e-01 3.859503964198273129e-01
